,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
110,Manikarnika: The Queen of Jhansi,Tamil,6.4,2 h 20 min,2019,16+,Manikarnika – Queen of Jhansi or well known as Lakshmi Bai of Jhansi is her real live story. She was the first woman in history to fight against the British in the cry of Independence.
111,Rowdy Baadshah,Hindi,6.4,2 h 10 min,2014,13+,Sadhu Bhai is a notorious mafia leader who escaped India after various terrorist attacks and conquered the entire Southeast Asia. Baadshah enters the underworld for his father. Sadhu Bhai's partner Crazy Robert captures Baadshah and his father as Baadshah revolts against Sadhu Bhai. But Baadshah easily defeats Crazy Robert.
112,Manamulla Marutharam,Tamil,None,2 h 27 min,1958,NR,"Manamulla Marutharam is a 1958 Indian Tamil film, directed by W. R. Subba Rao and M. S. Ramnath and produced by DPadma Films. The film stars K. Balaji, B. Saroja Devi and K. A. Thangavelu in lead roles. Music of the film was composed by K. V. Mahadevan."
113,Dare,Telugu,5.8,2 h 25 min,2011,NR,"Dare is a 2011 Indian Telugu film, directed by Ram and produced by G Murali. The film stars Jeeva, Anjali and Karunas in lead roles. The film had musical score by Yuvan Shankar Raja."
114,Jeevana Raagam,Telugu,None,2 h 15 min,1986,NR,"Jeevana Raagam is a 1986 Indian Telugu film, directed by B.V.Prasad and produced by Kodali Bosu Babu. The film stars Shoban Babu, Suhasini and Jayasudha in lead roles. Music of the film was composed by Satyam."
115,Sugar Salt Ani Prem,Marathi,6.2,2 h 5 mins,2015,All,"Salt Sugar Ani Prem is a story of three women Aditi, Soumya, and Ananya  who are also struggling in their respective lives. It so happens that these three women happen to cross paths. The story then develops their relationship and how their friendship gels with sugar, salt and love."
116,Evil Eye,English,4.7,1 h 29 min,2020,16+,Welcome to the Blumhouse! A superstitious mother is convinced that her daughter’s new boyfriend is the reincarnation of a man who tried to kill her 30 years ago.
117,Swarg,Hindi,6.7,2 h 31 min,1990,All,"Swarg Is A Bollywood Hindi Family Drama Film, Directed By David Dhawan, Starring Rajesh Khanna, Govinda And Juhi Chawla In The Lead Roles. Krishna Worships His Master, Sahabji, But Circumstances Lead To His Ouster From The House. He Works Hard, Becomes A Powerful Man And Returns To Restore His Master's Honour."
118,Poojaikku Vantha Malar,Tamil,7.5,2 h 41 min,1965,NR,"Suresh and Ravi are intimate friends, who study in the same college. But their friendship runs into trouble when both happen to work for the same company with different grades."
119,Bastard,English,None,7min,2010,NR,The short tells the story of a young couple in crisis who finds their way to a desert motel where three odd men plan to meet them for questionable reasons. This film explores what makes the unbelievable believable.
120,Karunamoyee,Bengali,None,2 h 23 min,2017,13+,A Bengali movie about the struggle of a mother with a physically challenged baby. Will her faith give her peace?
121,Nayakan,Tamil,8.6,2 h 36 min,1987,18+,"When a small boy sees his father killed in cold blood by a policeman, he kills the policeman and runs away to Bombay. Eventually, how a small boy becomes a Mumbai Don.The film is a life travel of a Mumbai Don."
122,Twister,Hindi,6.4,1 h 53 min,1996,13+,State-of-the-art special effects stir up this tale of tornado chasers on a perilous quest to test a new sensor device.
123,Bal Ganesh 3 (Tamil),Tamil,5.2,1 h 8 min,2015,7+,"In the third instalment of this popular Indian animated film franchise, we see the elephant-headed Hindu lord Bal Ganesh being adored not just by humans but also by alien kids from a planet named Zeba."
124,Goonda,Telugu,7,2 h 17 min,1984,NR,"Ravi (Chiranjeevi) is the son of a sincere Police officer (Satyanarayana). Ravi accidentally hurts his neighbour's eyes and become responsible for his blindness. Fearing that his father would scold him, he runs away from home and is brought up by a don in Calcutta, who names him Kalidas. The don dies in an encounter and Kali is asked to leave the world of crime and become a good citizen. Kal ..."
125,Bazar,Hindi,6,2 h 28 min,None,NR,"Love, success or sacrifice? Watch the drama unfold as Parwana an upcoming poet is asked to make the most difficult decision of his life."
126,LOL,English,4.4,1 h 32 min,2012,16+,"Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown. Through hilarious and heartfelt moments between mother and daughter."
127,Amari Duniya Tamari Duniya,Gujarati,None,2 h 13 min,2007,All,"Acclaimed actor Anantray Vidhayapati (Siddharth Randeria) bids adieu to the world of theater. Blindfolded by love and trust, he distributes his wealth among his children. Eventually, young children consider parents to be burden. Self respecting elderly parents have no choice but to walk away in search of a new world. A kind of drama that leaves your eyes moist and your soul cleansed."
128,Project Y,English,None,44min,2020,13+,"This film documents an experiment carried out by two friends. They get together five athletes and make them go through tests as they train for the most difficult gravel race ever. The experiment wants to find out why people endure pain caused by strenuous training to prepare for athletic events. Watch the documentary, as what the friends find out will baffle you."
129,Robin Hood,English,6.6,2 h 20 min,2010,13+,"The untold story of the man behind the legend. A thrilling action adventure with Academy Award® winner Russell Crowe and director Ridley Scott at ""their most entertaining since Gladiator."""
130,Mardaani,Hindi,7.3,1 h 53 min,2014,18+,"India is the world's hub for child sex trafficking. Shivani Shivaji Roy, Senior Inspector, Crime Branch, Mumbai Police, sets out to confront the mastermind behind a child trafficking mafia, who makes the mistake of kidnapping and smuggling a teenage girl, Pyari. What follows is a cat and mouse game between a fearless cop and a young and ruthless mafia kingpin in a war which is very personal."
131,Simham Puli,Telugu,None,2 h 34 min,2011,NR,"Simham Puli is a 2011 Indian Telugu film, directed by Sai Ramani and Produced by Nagamalla. Shankar. The film stars Jeeva, Divya Spandana, Honey Rose, Santhanam, Pandu and Ponvannan in lead roles. The music of the film was composed by Mani Sharma."
132,Go For Goals,Bengali,None,1 h 41 min,2017,13+,"A sports drama about Bengalis’ love for football, through the story of five friends who want to become footballers."
133,Autograph,Bengali,7.4,2 h 12 min,2017,13+,"Film maker Shuvabrata wants to cast superstar Arun Chatterjee in his debut film. As the camera starts rolling, real meets reel."
134,The Cabin Guard,Bengali,4.9,1 h 25 min,2019,13+,This Bengali film that describes the journey of a man - from anger to murders. Where will the bloody journey end?
135,Ondu Hennina Kathe,Kannada,None,2 h 27 min,1972,NR,"Ondu Hennina Kathe is a 1972 Indian Kannada film, directed by B R Panthulu and produced by B R Panthulu. The film stars M V Rajamma, Jayanthi, B V Radha, Rajesh, Sudarshan, Narasimharaju, Padma, Indrani, Kamalamma in lead roles. The film has musical score by T G Lingappa."
136,The Forgotten Genocide: Europe's Gypsies in World War II,English,8.2,1 h 15 min,2020,13+,"Far from the stereotype of uncivilized nomads, the Gypsies are a vibrant community whose way of life influenced high fashion and art and gave the world artists like Chaplin and Picasso. What is even lesser known is the shocking truth of the Gypsy Genocide in World War 2. Branded as anti-social, sent to Nazi camps and massacred in millions, survivors reveal the chilling details of the bloody event."
137,Ulagam Pirandhadhu Enakkaga,Tamil,None,2 h 28 min,1990,All,"Sathyaraj is a rich person who returns from America to India. He gets surprised when most of them call him with different name and later he sees another Sathyaraj who is a jobless guy and wanted to earn money for his Sister's life. Sathyaraj requests another Sathyaraj to pretend like him, so that he will be able to find his enemies."
138,HAK_MTL,English,6.1,1 h 7 min,2020,13+,"The Big Brother is indeed watching us all. With information from our phones, laptops even from street-side CCTVs being pulled in by government and corporates, the concept of right to privacy is long gone. Watch this film which shows a group of hackers who are building technology to protect our data and our rights."
139,The Lego Movie,English,7.7,1 h 40 min,2014,All,"The LEGO movie follows Emmet, who is on an epic quest to stop an evil tyrant from gluing the universe together, a journey for which he is hopelessly and hilariously underprepared."
140,Zoo Laka Taka,Telugu,6,1 h 36 min,1989,NR,"Zoo Laka Taka is a 1989 Indian Telugu film, directed by Vijaya Bapineedu and produced by Gutta Madhusudana Rao. The film stars Rajendra Prasad, Chandra Mohan, Tulasi and Kalpana in lead roles. Music of the film was composed by Vasu Rao."
141,Life is Beautiful,Hindi,None,1 h 56 min,2014,NR,"Raj works in Toronto and lives with his friend Prem who hates him for invading his tiny apartment. After Raj's application for Canadian residency is rejected, he plots the perfect plan to attain the Citizenship within a year, he marries a stranger, Pia. And as much as she hates it, she is forced to move in with him, as his wife. They live together, they fight, they laugh and soon a strange c ..."
142,Chanda,Kannada,None,2 h 34 min,2007,NR,"Chanda is a 2007 Indian Kannada film, directed by S. Narayan and Produced by S. Narayan. The film stars Duniya Vijay, Shubha Punja, Komal, Sundar Raj, Somanna Jadar and Shobha Raghavendra in lead roles. The music of the film was composed by S. Narayan."
143,Saawariya - Khatu Shyam Ji Ki Amar Gatha,Hindi,None,2 h 3 min,2013,NR,"Tara Chand (Mukesh Khanna) has two children - a daughter named Meera (Sara Khan) and a son. The whole family believes in Khatu Shyam ji and lives happily in Rajasthan. Meera gets married to Prem (Ashmit Patel), the son of Kishan Chand, a big businessman, and has a wife named Shanti Devi (Suhasini Mullay), another son named Pratap (Aman Verma ) whose wife is Rani ( Saadhika Randhawa). He also ..."
144,London Has Fallen,Hindi,5.9,1 h 34 min,2016,18+,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders."
145,Summer in Bethlehem,Malayalam,7.8,2 h 34 min,1998,All,"Ravishankar pretends to own the farmhouse of his friend Dennis when his relative, Col. Menon, pays a visit along with his granddaughters. Dennis and Ravishankar try to find Ravishankar's secret admirer among the girls."
146,Tarpan,Hindi,None,2 h 4 min,1995,NR,"To cure their sick daughter, a couple travel to a village to clean a well used by the upper caste families. Little do they know that the well harbours demons of men and women who have been killed."
147,Michael,Bengali,5.7,2 h 13 min,2018,13+,"Michael and Mayurbahan both want to make a mark on the silver screen, in their own ways. Will they realise their dreams?"
148,King - Malayalam,Malayalam,None,2 h 37 min,2002,NR,"Raja Krishnamoorthy (Vikram) is the only son of Shanmugam (Nassar). Due to an accident, Raja's father is on the verge of death and is expected to live only for 60 days. To keep his father happy Raja decides to reunite his father and grandfather and takes him back to India from Hong King where they reside."
149,Quick,English,5.8,1 h 47 min,2011,16+,A famous biker named Gi-su (Lee Min-ki) has to deliver a bomb on his helmet under 30 minutes with his new girlfriend Ah-rom (Kang Ye-won) before it explodes.
150,Hey Ram,Hindi,7.9,3 h 19 min,2000,NR,"A period drama told in flashback, the semi-fictional plot centers around India's Partition and the assassination of Mahatma Gandhi."
151,Karpagam,Tamil,7.4,2 h 49 min,1963,All,"Gemini Ganesan is a benevolent small time farmer and he marries K.R.Vijaya. Muthuraman and K.R.Vijaya are the children of S.V.Ranga Rao, a rich landlord. Muthuraman loves and marries Sheela, the daughter of greedy M.R.Radha. Estranged son Muthuraman, along with M.R.Radha conspire to swindle Ranga Rao's property. Whether the ploy succeeds and the kid joins her foster parent is the climax."
